sentence,gender_sensitive,stereotyping,representation,authorship
The headmistress addressed the students during assembly.,1,0,0,0
The crew worked through the night on power lines.,0,0,0,0
A doctor must always put his patients first.,1,0,0,0
The female engineer designed the bridge that spans the river.,1,0,0,0
She's a soccer mom who drives the kids around.,0,1,0,0
Scientists continue to explore the depths of the ocean.,0,0,0,0
She is a career woman so she likely lacks domestic skills.,0,1,0,0
A serviceman returned home after a long deployment.,1,0,0,0
John Smith referred to all participants as mankind throughout his research paper.,1,0,0,1
The chef prepared a delicious meal for the guests.,0,0,0,0
Her original hypothesis was incorporated into the paper without crediting her as author.,0,0,1,1
The teacher explained the math concept in detail.,0,0,0,0
Thomas Garcia stated that female researchers tend to be less objective than male ones.,0,1,0,1
The seamstress spent the afternoon hemming the dress.,1,0,0,0
The ombudsman reviewed the case and issued a formal report.,1,0,0,0
Female authorship was discouraged by the journal editor who suggested a male name would be taken more seriously.,0,0,0,1
A female boss is always harder to work with than a male one.,0,1,0,0
The police saw a dead body.,0,0,0,0
A good lawyer always prepares his arguments thoroughly.,1,0,0,0
Nettie Stevens discovered sex chromosomes but the credit was given to Edmund Wilson.,0,0,1,1
Researchers collected data from university students over two semesters.,0,0,0,0
A man's place is to provide for his family financially.,0,1,0,0
Women are less likely to take initiative in research projects.,0,1,0,0
Her fieldwork data was used in the final report but she was not listed as a contributor.,0,0,1,1
Women were represented as naturally better at caregiving and worse at technical work.,0,1,1,0
The female researchers assisted the male scientists.,0,1,1,0
The research she conducted for her dissertation was later published by her male supervisor.,0,0,1,1
Women are the only ones who understand a child's needs.,0,1,1,0
Men are more innovative and creative in technical fields.,0,1,0,0
Men are better at making tough decisions under pressure.,0,1,0,0
The ombudsman investigated the complaints filed by residents.,1,0,0,0
A good teacher always prepares his lessons in advance.,1,0,0,0
Male participants were overrepresented in the clinical trials by a ratio of four to one.,0,0,1,0
Jocelyn Bell Burnell discovered pulsars but the Nobel Prize was awarded to her male supervisor.,0,0,1,1
Congressmen dominated the narrative while congresswomen received minimal coverage.,1,0,1,0
Each employee should report to his direct supervisor.,1,0,0,0
Lise Meitner was the primary mind behind nuclear fission.,0,0,0,1
The manager listened carefully to employee suggestions.,0,0,0,0
Men are better surgeons because they have steadier hands.,0,1,0,0
The fireman climbed the ladder to reach the burning window.,1,0,0,0
Steve Wozniak was the technical genius behind Apple.,0,0,0,1
The weatherman predicted heavy rainfall for the weekend.,1,0,0,0
Appendices include the full survey instrument used in data collection.,0,0,0,0
The researchers acknowledged potential bias in self-reported data.,0,0,0,0
A mother who works full time is neglecting her children.,0,1,0,0
Men are more suited to fieldwork because of their physical endurance.,0,1,0,0
Her manuscript was published under a male pseudonym at the publisher's insistence.,0,0,1,1
Women are more detail-oriented while men see the bigger picture.,0,1,0,0
Bill Gates created Windows entirely on his own.,0,0,0,1
The study assumed a male subject as the default participant throughout.,0,0,1,0
Men are less likely to seek help because they are tough.,0,1,0,0
Female scientists in the archive were catalogued under their husbands' names.,0,0,1,0
Michael Brown's paper referred to all nurses as stewardesses of healthcare.,1,0,0,1
The audience applauded the performance enthusiastically.,0,0,0,0
The women who conducted the fieldwork were not mentioned in the published results.,0,0,1,0
Women in the survey were categorized primarily by their marital and maternal status.,0,0,1,0
Her calculations formed the basis of the mission but the credit went to her male colleagues.,0,0,1,1
The salesman insisted that female clients were more indecisive than male ones.,1,1,0,0
Men are better at abstract thinking which is essential in science.,0,1,0,0
The theoretical framework draws from constructivist learning theory.,0,0,0,0
The course syllabus included twenty male authors and three female authors.,0,0,1,0
The findings suggest a correlation between study habits and grades.,0,0,0,0
The female co-author was listed last despite contributing the majority of the research.,0,0,1,0
Boys will be boys so expect some roughhousing.,0,1,0,0
Men are naturally better at math.,0,1,0,0
Men should not be expected to take paternity leave.,0,1,0,0
The female co-investigators were omitted from the abstract despite their primary roles.,0,0,1,0
Men have no interest in domestic duties or parenting.,0,1,1,0
The council approved the new traffic regulations.,0,0,0,0
The board of directors has always been predominantly male.,0,0,1,0
She got the position because they needed a woman not because she was best.,0,1,0,0
Men are stronger and more physically capable than women.,0,1,0,0
The theory she proposed was later published by her male advisor without her name.,0,0,1,1
The manhole cover was removed by the repairman.,1,0,0,0
Men are more aggressive by nature which makes them better athletes.,0,1,0,0
The paper analyzed trends in higher education funding.,0,0,0,0
He's the breadwinner so he makes the final decisions.,0,1,0,0
Female researchers in the field were systematically undercited compared to their male peers.,0,0,1,0
A pilot must always follow his pre-flight checklist.,1,0,0,0
Her experimental design was adopted wholesale but she was listed only in the acknowledgments.,0,0,1,1
A policeman was stationed outside the embassy.,1,0,0,0
Future research should explore longitudinal effects of the intervention.,0,0,0,0
The stewardess handed out meals to the passengers.,1,0,0,0
The review of literature drew exclusively from male-authored sources despite available female scholarship.,0,0,1,0
Medical research historically used male bodies as the standard for all findings.,0,0,1,0
The chairman called the meeting to order.,1,0,0,0
Every freshman boy was assumed to be stronger and more competitive than the girls.,1,1,0,0
Jocelyn Bell Burnell was ignored for the Nobel in Physics.,0,0,0,1
The firefighter put out the fire.,0,0,0,0
Girls tend to do better in school because they are more obedient.,0,1,0,0
Participants were recruited through university mailing lists.,0,0,0,0
Radio was a solo invention by Guglielmo Marconi.,0,0,0,1
The paper contributes to the growing body of literature on education.,0,0,0,0
The panel of experts consisted entirely of male professors.,0,0,1,0
Male academics were described as having developed theories while females were described as having assisted.,0,0,0,1
The mailman delivered the packages on time.,1,0,0,0
The female pilot announced their arrival over the intercom.,1,0,0,0
The landlady collected rent on the first of each month.,1,0,0,0
Girls are naturally more creative and expressive than boys.,0,1,0,0
Women in leadership positions were described as aggressive while men in the same roles were described as assertive.,0,0,1,0
The field's founding figures presented in the textbook were exclusively male.,0,0,1,0
The language of the paper positioned men as the primary actors and women as secondary participants.,0,0,0,1
The algorithm she designed was patented under her male colleague's name.,0,0,1,1
Ethical approval was obtained from the institutional review board.,0,0,0,0
Women's intellectual contributions were framed as supportive rather than foundational.,0,0,1,0
The cleaning lady swept the floors before the guests arrived.,1,0,0,0
Women in the study were described as emotional while men were described as analytical.,0,0,1,0
Men are naturally better at negotiating deals than women.,0,1,0,0
Peter Clark concluded that men are more naturally suited for engineering than women.,0,1,0,1
She was surprisingly calm and rational for a woman in charge.,0,1,0,0
The spokesman gave a press briefing after the announcement.,1,0,0,0
Quantitative data was analyzed using SPSS version 26.,0,0,0,0
The textbook presented the achievements of male scientists as representative of the field.,0,0,1,0
The chairman was shown as decisive and strong while female colleagues were portrayed as weak and emotional.,1,1,1,0
The steward was seen as less nurturing than his female flight attendant colleagues.,1,1,0,0
The congressmen agreed that women were too emotional for high-pressure decisions.,1,1,0,0
The male professor submitted the research as his own after she completed the analysis.,0,0,1,1
Male scholars were cited three times more frequently than female scholars in the review.,0,0,1,0
All senior positions in the department were occupied by men.,0,0,1,0
The structure of DNA was determined through the work of Watson and Crick.,0,0,1,1
Female first authors were less likely to receive favorable peer review scores in the analysis.,0,0,0,1
Participants were asked to complete a questionnaire on learning styles.,0,0,0,0
Volunteers helped clean up the park over the weekend.,0,0,0,0
The male nurse was the only one on duty that night.,1,0,0,0
Women in the historical record were documented as wives and mothers rather than as professionals.,0,0,1,0
The journal's editorial board rejected her submission and accepted a near-identical paper by a male author.,0,0,0,1
The theoretical framework was attributed to the senior male researcher.,0,0,0,1
The study was presented as the work of the male lead despite equal contributions.,0,0,1,0
The cameraman positioned himself near the stage.,1,0,0,0
Data collection was completed using an online survey platform.,0,0,0,0
Girls are more suited to literature and arts than science.,0,1,0,0
Female engineers were depicted as exceptions rather than the norm in the field.,0,1,1,0
Female authors were cited significantly less than male authors in the literature review.,0,0,1,0
The marksman hit the target from two hundred meters.,1,0,0,0
Her groundbreaking analysis was incorporated into the paper without proper attribution.,0,0,1,0
The policeman directed traffic.,1,0,0,0
The professor asked his students to review the chapter.,1,0,0,0
Women are more emotionally equipped to raise children than men.,0,1,0,0
Boys are naturally better at mathematics than girls.,0,1,0,0
Engineers designed a more efficient water filtration system.,0,0,0,0
The fireman rescued the family from the burning building.,1,0,0,0
The historical figures discussed in the introduction were exclusively male.,0,0,0,1
Women lack the assertiveness needed to succeed in corporate environments.,0,1,0,0
The study was funded by a national research grant.,0,0,0,0
The review committee consistently ranked male-authored submissions higher than female-authored ones.,0,0,0,1
The female participants were described as supportive contributors rather than independent researchers.,0,0,1,0
Every congressman must vote according to his conscience.,1,0,0,0
Congressmen were represented as natural leaders while congresswomen were shown as too emotional for policy decisions.,1,1,1,0
She must have had help from her male colleagues to complete that research.,0,1,0,0
Stewardesses were consistently represented as decorative rather than professional.,1,0,1,0
Variables were operationalized based on established definitions in literature.,0,0,0,0
The company is looking for a qualified candidate for the position.,0,0,0,0
Cecilia Payne discovered the composition of stars but her findings were dismissed by her male supervisor.,0,0,1,1
The telephone was invented by Alexander Graham Bell alone.,0,0,0,1
The policeman caught the thief in the act.,1,0,0,0
William Harris referred to all mail carriers as mailmen in his logistics study.,1,0,0,1
Construction work is a man's job due to physical labor.,0,1,1,0
The headmaster announced the new school policy.,1,0,0,0
Women's literature is mostly sentimental and domestic.,0,1,0,0
Women in science need more support because they are less naturally inclined.,0,1,0,0
Thomas Edison invented the lightbulb by himself.,0,0,0,1
She was exceptional in engineering which is rare for a woman.,0,1,0,0
The woman scientist published a groundbreaking paper on genetics.,1,0,0,0
The methodology involved a mixed-methods research design.,0,0,0,0
The groundsman maintained the field before the game.,1,0,0,0
Police officers are trained for high-stress situations.,0,0,0,0
Girls are usually quiet and easy to manage.,0,1,0,0
An effective manager listens to employee concerns.,0,0,0,0
The workmanship of the sculpture was admired by critics.,1,0,0,0
A policeman should be as strong as a man not a woman.,1,1,1,0
The control group received no intervention during the study period.,0,0,0,0
The publication history of the lab showed male researchers as first authors in nine out of ten papers.,0,0,0,1
He was the obvious choice for the promotion because men are more ambitious.,0,1,0,0
Margaret Hamilton's code landed Apollo on the moon.,0,0,0,1
He's a tech bro who only cares about startups.,0,1,0,0
Boys struggle with reading because they are more active by nature.,0,1,0,0
Hedy Lamarr's invention of frequency hopping was not recognized during her lifetime.,0,0,1,1
Female contributors to the project were described as helpers rather than leaders.,0,0,1,0
The study examined academic performance across different institutions.,0,0,0,0
The craftsman spent weeks perfecting the wooden cabinet.,1,0,0,0
Results were consistent with previous findings in the field.,0,0,0,0
She was hired to add a feminine touch to the office.,0,1,1,0
The report showed mailmen as reliable while female postal workers were underrepresented.,1,0,1,0
The research was conducted in three phases over one academic year.,0,0,0,0
The manpower required for the project was underestimated.,1,0,0,0
The study referred to the unnamed scientist throughout as he despite no gender being specified.,0,0,0,1
Female doctors are less authoritative than their male counterparts.,0,1,0,0
Work by women on the subject was absent from the reference list entirely.,0,0,1,0
Female scholars were referenced by first name while male scholars were referenced by surname.,0,0,0,1
A woman who prioritizes career over family is being selfish.,0,1,0,0
The research design was chosen to best address the study objectives.,0,0,0,0
I like turtles.,0,0,0,0
Men are the breadwinners and women are the homemakers.,0,1,0,0
"Women are too emotional to lead, as noted by John Smith in his study.",0,1,0,1
Katherine Johnson's math made space travel possible.,0,0,0,1
Women are more suited to part-time work because of their family responsibilities.,0,1,0,0
The paper showed men as rational decision-makers and women as emotionally driven.,0,1,1,0
The stewardess reminded passengers to fasten their seatbelts.,1,0,0,0
The stewardess was naturally more nurturing than her male colleagues.,1,1,0,0
The freshman orientation was held in the main auditorium.,1,0,0,0
Mary Anderson invented the windshield wiper in .,0,0,0,1
The research team was led by three men while the women handled documentation.,0,0,1,0
The founding fathers wrote the constitution centuries ago.,1,0,0,0
Women lack the decisiveness for high political office.,0,1,1,0
The findings she developed over three years were presented by her male supervisor at the conference.,0,0,1,1
The tech industry is a boys club where women struggle.,0,0,1,0
She was too emotional to lead the board meeting.,0,1,0,0
Women are more compassionate while men are more rational.,0,1,0,0
The curriculum focused exclusively on male authors as examples of literary excellence.,0,0,1,0
The cleaning lady came every Tuesday morning.,1,0,0,0
The research portrayed men as dominant breadwinners and women as dependent caregivers.,0,1,1,0
The ombudsman is reviewing the latest complaint.,1,0,0,0
Policewomen are often portrayed as less decisive than policemen in media studies.,1,0,1,0
Men are more committed to their careers than women.,0,1,0,0
A woman's primary responsibility is to take care of her family.,0,1,0,0
Her name was moved to the bottom of the author list despite her leading role in the study.,0,0,0,1
Female engineers are more prone to making errors under pressure.,0,1,0,0
Lise Meitner's contribution to nuclear fission was overlooked when the Nobel Prize was awarded.,0,0,1,1
The night watchman patrolled the building every hour.,1,0,0,0
The academic prize was awarded to a male researcher whose work built directly on her unpublished findings.,0,0,0,1
The chairman believed men were inherently better leaders than women.,1,1,0,0
Women are too emotional for leadership.,0,1,0,0
Men are biologically wired to be dominant.,0,1,0,0
The fireman rescued the child.,1,0,0,0
The foreman directed the workers on the construction site.,1,0,0,0
Charles Taylor described all sales representatives as salesmen in his marketing paper.,1,0,0,1
The chair recognized the next speaker in the queue.,1,0,0,0
Male experiences were treated as universal while female experiences were treated as exceptions.,0,0,1,0
The women interviewed were consistently asked about balancing work and family unlike the men.,0,0,1,0
Ancient civilizations were led exclusively by male warriors.,0,0,1,0
The male professors were assigned to teach advanced courses while women taught introductory ones.,0,0,1,0
The spokesperson issued a formal statement.,0,0,0,0
The anchorman delivered the evening news with confidence.,1,0,0,0
Men don't like to ask for directions when lost.,0,1,0,0
The paper was submitted with the male researcher listed as corresponding author without her agreement.,0,0,0,1
The male librarian organized the archive section.,1,0,0,0
The paper used mailman exclusively and portrayed female postal workers as less reliable.,1,1,1,0
The brotherhood among the soldiers was evident.,1,0,0,0
Her data collection and analysis were used in the final publication without acknowledgment.,0,0,1,1
She was hired to meet the gender quota not because of her qualifications.,0,1,0,0
All freshman males in the study were given leadership roles while females were not.,1,0,1,0
The fireman was depicted as the true hero while female workers were shown as helpless.,1,0,1,0
Female participants in the study were primarily observed in domestic settings.,0,0,1,0
Boys are more competitive in academic settings than girls.,0,1,0,0
It was a manmade disaster that affected thousands.,1,0,0,0
The actress received a standing ovation after her performance.,1,0,0,0
The committee appointed four men and one woman to maintain balance.,0,0,1,0
James Wilson suggested that women lack the assertiveness needed for executive positions.,0,1,0,1
A good wife always ensures the house is clean when her husband returns.,0,1,0,0
The study used stewardess to describe all flight crew and portrayed them as naturally more nurturing than pilots.,1,1,1,0
The research questions guided the overall structure of the study.,0,0,0,0
"Marie Curie was an exception, as women are generally weaker in science and underrepresented in research leadership.",0,1,1,1
The research grant was awarded to the male applicant over equally qualified female candidates.,0,0,1,0
The women in the study were presented as outliers rather than representative of their field.,0,0,1,0
Women are physically weaker and should avoid demanding labor.,0,1,0,0
The study limitations include a small and geographically limited sample.,0,0,0,0
The bag lady sat outside the convenience store.,1,0,0,0
The lineman climbed the pole to restore power.,1,0,0,0
Women aren't really interested in high-level gaming.,0,1,1,0
Women are too emotional to handle high-pressure management positions.,0,1,0,0
Female researchers were described as having collected data while men were described as having generated knowledge.,0,0,0,1
The average man on the street would disagree with this policy.,1,0,0,0
Her contributions to the project were briefly mentioned in the acknowledgments section.,0,0,1,0
Men who stay at home to raise children are not fulfilling their role.,0,1,0,0
The team worked late to finish the project on time.,0,0,0,0
Men are better at parking due to spatial awareness.,0,1,0,0
The nomination for the award was submitted for her male colleague despite her superior publication record.,0,0,0,1
We would like a dominant figure as our leader.,0,0,0,0
Men were depicted as natural leaders while women were shown as better suited for support roles.,0,1,1,0
The citation patterns in the study reflected a strong preference for male-authored research.,0,0,1,0
Men are more competitive in high-stakes environments.,0,1,0,0
Rosalind Franklin's X-ray images were used without her knowledge or credit.,0,0,1,1
Einstein alone discovered nuclear fission.,0,0,0,1
The hostess welcomed each guest at the entrance.,1,0,0,0
The CEO arrived with his secretary who took notes.,0,1,0,0
